cluster_id,n_stops,stop_names
329,2,['Bjørndal']
330,2,['Forskningsparken T']
331,2,['Universitetet Blindern']
332,2,['John Colletts plass']
333,3,['Adamstuen']
334,2,['Stensgata']
335,2,"[""Sars' gate""]"
336,2,['Smiuvegen']
337,2,['Jorines vei']
338,2,['Nordre Åsen']
339,2,['Aschehougs vei']
340,2,['Sanatoriet']
341,2,['Akebakken']
342,2,['Grefsenseteren']
343,2,['Trollveiskrysset']
344,2,['Kirketomta']
345,2,['Gulldalen']
346,2,['Heia']
347,2,['Rønningen']
348,2,['Rundhaugen']
349,2,['Kringlevann']
350,2,['Setervollveien']
351,2,['Linderudkollen']
352,2,['Kalland']
353,2,['Solemskogen']
354,2,['Frøensalléen']
355,3,['Vinderen T']
356,2,['Grimelundsveien']
357,2,['Holmenhavna']
358,2,['Lybekkveien']
359,2,['Krags vei']
360,2,['Ryghs vei']
361,2,['Orebakken']
362,2,['Hovseter skole']
363,2,['Ostadalsveien']
364,2,['Aslakveien']
365,2,['Ullerntoppen']
366,4,"['Dalssvingen', 'Dalsåsen', 'Mortensrudkrysset']"
367,2,['Leirskallen']
368,2,['Øgården']
369,2,['Munkerudkleiva']
370,2,['Nordstrandhallen']
371,2,['Freidigveien']
372,2,['Bakkerudveien']
373,4,"['Lambertseterveien', 'Søndre Hellerud']"
374,2,['Mylskerudveien']
375,2,['Karlsrud']
376,2,['Skogholtveien']
377,2,['Åsliveien']
378,2,['Holtet']
379,2,['Bekkelagshjemmet']
380,2,['Ekeberghallen']
381,2,['Bjerke']
382,2,['Sinsen T']
383,2,['Refstadsvingen']
384,2,['Bjerkedalen park']
385,2,['Økernbråten']
386,2,['Nedre Vollebekk']
387,2,['Knud Bryns vei']
388,2,['Nåkkves vei']
389,3,['Persveien']
390,2,['Haraldrudveien']
391,2,['Politihuset']
392,4,"['Norbygata', 'Tøyengata']"
393,2,['Stensberggata']
394,2,['Colletts gate']
395,2,['Lovisenberg']
396,2,['Tannlegehøyskolen']
397,2,['Rosenborg']
398,2,['Langvik']
399,2,['Herbernveien']
400,2,['Ravnkroken']
401,2,['Bjørnerud']
402,2,['Oredalen']
403,2,['Langteigåsen']
404,2,['Ingiers vei']
405,2,['Kronveien']
406,2,['Sveavegen']
407,2,['Lerdal']
408,2,['Prinsdal']
409,2,['Prinsdalsbakken']
410,2,['Trygve Strømbergs vei']
411,2,['Tøyen skole']
412,2,['Ensjø T']
413,2,['Vogts gate']
414,2,['Vøyenbrua']
415,2,['Postkassene']
416,2,['Rundtjernveien']
417,2,['Hellerudgrenda']
418,2,['Haugerudveien']
419,2,['Hoff']
420,2,['Hoff terrasse']
421,2,['Jarlsborgveien']
422,2,['Smestaddammen']
423,2,['Gaustadveien']
424,2,['Øvre Sogn']
425,2,['Seterbråten']
426,2,['Sommerro']
427,2,['Mina Beiteplukks vei']
428,2,['Bogstad Camping']
429,2,['Peder Ankers plass']
430,2,['Linhusveien']
431,2,['Vennerstua']
432,2,['Biermanns gate']
433,2,['Nybrua']
434,2,['Niels Juels gate']
435,2,['Lille Frogner allé']
436,2,['Elisenberg']
437,2,['Bogstad badeplass']
438,2,['Bogstad gård']
439,2,['Zinober']
440,2,['Bjørnsgard']
441,2,['Årnes']
442,2,['Bakk']
443,2,['Søndre Solberg']
444,2,['Nordre Solberg']
445,2,['Stubberud']
446,2,['Sørkedalen skole']
447,2,['Lokalet']
448,2,['Søndre Venner']
449,2,['Nordre Venner']
450,2,['Vestre Venner']
451,2,['Sandbråten']
452,2,['Skansebakken']
453,2,['Bryn senter']
454,2,['Manglerud senter']
455,2,['Manglerud skole']
456,2,['Skuronnveien']
457,2,['Treskeveien']
458,2,['Bogerudmyra']
459,2,['Jøranstien']
460,2,['Østbyveien']
461,2,['Ulsrud T']
462,2,['Ulsrudveien']
463,2,['Oppsal senter']
464,2,['Løypeveien']
465,2,['Skøyenåsveien']
466,2,['Skøyenkroken']
467,2,['Skøyenåsen T']
468,2,['Østensjø skole']
469,2,['Rognerud']
470,2,['Åsjordet T']
471,2,['Sloreåsen']
472,2,['Klemetsrud skole']
473,2,['Maurtuveien']
474,2,['Godheim']
475,2,['Store Stensrud']
476,2,['Hanåveien']
477,2,['Lille Stensrud']
478,3,"['Sværsvann', 'Sværsvann bru']"
479,2,['Sørenga']
480,2,['Loelva']
481,2,['Ormsundbakken']
482,2,['Mailand']
483,2,['Kirkebakken']
484,2,['Malmøysundet']
485,2,['Ulvøya']
486,2,['Vetlandsveien']
487,2,['Oppsal kirke']
488,2,['Berglyveien']
489,2,['Høgåsveien']
490,2,['Toppåsveien']
491,2,['Vippetangen']
492,2,['Tøyenkirken']
493,2,['Kampen']
494,2,['Kampen park']
495,2,['Ensjøveien']
496,2,['Hasle kirke']
497,2,['Nedre Risløkka']
498,2,['Kroklia']
499,2,['Øvre Risløkka']
500,2,['Linderud T']
501,2,['Veitvetstubben']
502,2,['Skovheim']
503,2,['Bråten']
504,2,['Kastellet']
505,2,['Sørli']
506,2,['Stortorvet']
507,2,['Tullinløkka']
508,2,['Tangen']
509,2,['Kantarellen']
510,4,"['Kantarellen legesenter', 'Kantarellen terrasse']"
511,2,['Stenbråten']
512,2,['Tryvann']
513,4,['Frognerseteren']
514,2,['Thorleif Haugs vei']
515,2,['Soria Moria']
516,2,['Lysebu']
517,2,['Voksenkollen T']
518,2,['Olasrudveien']
519,2,['Granebakken']
520,2,['Dalsroa']
521,2,['Brenna']
522,2,['Bratli']
523,2,['Pasop']
524,2,['Lyngåsveien']
525,2,['Makrellbekken']
526,2,['Bogstadveien']
527,2,['Ekraveien']
528,2,['Engersbråten']
529,2,['Trollvann']
530,2,['Postens godssenter']
531,2,['Postnord']
532,2,['Postens verksteder']
533,2,['Edvard Munchs vei']
534,2,['Ellingsrudåsen T']
535,2,['Ringshusveien']
536,2,['Nordseter gård']
537,2,['Jacobine Ryes vei']
538,2,['Gullberget']
539,2,['Ris T']
540,2,['Slemdal T']
541,2,['Svenstua']
542,2,['Midtstuen']
543,2,['Besserud T']
544,1,['Vækerø']
545,1,['Maritim']
546,1,['Sjølyst']
547,1,['Sjølyst']
548,1,['Maritim']
549,1,['Vækerø']
550,1,['Tokerudbekken']
551,1,['Ammerud']
552,1,['Rødtvet T']
553,1,['Veitvet']
554,1,['Tittutveien']
555,1,['Risløkkalléen']
556,1,['Valle']
557,1,['Veitvet']
558,1,['Rødtvet T']
559,1,['Ammerud']
560,1,['Tokerudbekken']
561,1,['Valle']
562,1,['Haslevangen']
563,1,['Risløkkalléen']
564,1,['Frydenlund']
565,1,['St. Hanshaugen']
566,1,['Vestre Aker kirke']
567,1,['Ullevål sykehus']
568,1,['Risalléen']
569,1,['Ullevål stadion']
570,1,['Lørenvangen']
571,1,['Veitvetveien']
572,1,['Grorud stasjon']
573,1,['Ullevål sykehus']
574,1,['Vestre Aker kirke']
575,1,['Haavard Martinsens vei']
576,1,['Grorud stasjon']
577,1,['Stanseveien']
578,1,['Veitvetveien']
579,1,['Siemens']
580,1,['Lørenvangen']
581,1,['Ullevål stadion']
582,1,['Montebelloveien']
583,1,['Montebelloveien']
584,1,['Vølund']
585,1,['Nordstrand bad']
586,1,['Nordstrand bad']
587,1,['Vølund']
588,1,['Ljansbakken']
589,1,['Kvadraturen']
590,1,['Sandaker']
591,1,['Lillo gård']
592,1,['Lysaker bru']
593,1,['CC vest']
594,1,['Husebyveien']
595,1,['Valle Hovin']
596,1,['Kongleveien']
597,1,['Smedberg']
598,1,['Furuveien']
599,1,['Eirik Raudes vei']
600,1,['Kvadraturen']
601,1,['Asperudåsen']
602,1,['Krummedike']
603,1,['Tjonerudveien']
604,1,['Bekkenstenveien']
605,1,['Vestre Haugen']
606,1,['Jeriko skole']
607,1,['Doktor Dedichens vei']
608,1,['Tveita bedriftsområde']
609,1,['Tveita']
610,1,['Solbergliveien']
611,1,['Ljabru']
612,1,['Hallagerbakken']
613,1,['Skovbakken nord']
614,1,['Tveita']
615,1,['Tveita bedriftsområde']
616,1,['Doktor Dedichens vei']
617,1,['Skarsbakken']
618,1,['Rugda']
619,1,['Turtermarka']
620,1,['Maridalen skole']
621,1,['Bergkrystallen T']
622,1,['Ljabru']
623,1,['Solbergliveien']
624,1,['Hellerudfaret']
625,1,['Doktor Dedichens vei']
626,1,['Jeriko skole']
627,1,['Vestre Haugen']
628,1,['Stillatorvet']
629,1,['Brekke']
630,1,['Jakob kirke']
631,1,['Kjølberggata']
632,1,['Heggeli']
633,1,['Himstadplassen']
634,1,['Kjelsrud']
635,1,['Grefsenkollveien']
636,1,['Svensenga']
637,1,['Kongleveien']
638,1,['Domus Athletica']
639,1,['Bryn senter']
640,1,['CC vest']
641,1,['Jakob kirke']
642,1,['Frysja']
643,1,['Stillatorvet']
644,1,['Prost Hallings vei']
645,1,['Mortensrudkrysset']
646,1,['Ole Deviks vei']
647,1,['Kjelsrud']
648,1,['Alnaparkveien']
649,1,['Nationaltheatret']
650,1,['Fjellhus']
651,1,['Ljansbakken']
652,1,['Høystakkveien']
653,1,['Lofsrudhøgda']
654,1,['Welhavens gate']
655,1,['Vestbyveien']
656,1,['Jernkroken']
657,1,['Haugenstua torg']
658,1,['Himstadplassen']
659,1,['Smestad']
660,1,['Heggeli']
661,1,['Tråkka']
662,1,['Dalsveien']
663,1,['Stasjonsveien']
664,1,['Røa næringspark']
665,1,['Kjølberggata']
666,1,['Årvoll senter']
667,1,['Vollebekkveien']
668,1,['Kongleveien']
669,1,['Svensenga']
670,1,['Grefsenlia']
671,1,['Etterstad skole']
672,1,['Holbergs plass']
673,1,['Skøyen']
674,1,['Alnaparkveien']
675,1,['Ole Deviks vei']
676,1,['Bygdøynes']
677,1,['Skovbakken syd']
678,1,['Ravnåsen']
679,1,['Nebbejordet']
680,1,['Hjortnes']
681,1,['Hellerud terrasse']
682,1,['Krokstien']
683,1,['Grankollveien']
684,1,['Landeroveien']
685,1,['Årvoll senter']
686,1,['Nordahl Bruns gate']
687,1,['Etterstad skole']
688,1,['Etterstad vest']
689,1,['Etterstad sør']
690,1,['Etterstadkroken']
691,1,['Nationaltheatret']
692,1,['Rikshospitalet']
693,1,['Lofsrudhøgda']
694,1,['Røa kirke']
695,1,['Tiurleiken']
696,1,['Ravnkollen']
697,1,['Ravnkollbakken']
698,1,['Romsås kirke']
699,1,['Røverkollen']
700,1,['Øvre Svarttjern']
701,1,['Svarttjern']
702,1,['Emanuelfjell']
703,1,['Romsås senter']
704,1,['Orremyr']
705,1,['Gangtunnelen']
706,1,['Holbergs plass']
707,1,['Rikshospitalet']
708,1,['Røa kirke']
709,1,['Strøm']
710,1,['Wyllerveien']
711,1,['Bislett']
712,1,['Huitfeldts gate']
713,1,['Traktorveien']
714,1,['Smedberg']
715,1,['Formerveien']
716,1,['Skøyenlia']
717,1,['Hovseter']
718,1,['Bjørnveien']
719,1,['Tråkka']
720,1,['Malmøya']
721,1,['Eirik Raudes vei']
722,1,['Furuveien']
723,1,['Kirkeby']
724,1,['Maridalen kirke']
725,1,['Velhuset']
726,1,['Hauger']
727,1,['Turterfaret']
728,1,['Brodin']
729,1,['Sandermosveien']
730,1,['Granum']
731,1,['Øvre Vaggestein']
732,1,['Tøyen stasjon']
733,1,['Kabelgata']
734,1,['Rabbeveien']
735,1,['Anton Tschudis vei']
736,1,['Linne hotell']
737,1,['Simensbrekka']
738,1,['Maikollen']
739,1,['Vollebekkveien']
740,1,['Nationaltheatret']
741,1,['Ammerud T']
742,1,['Ammerudlunden']
743,1,['Ammerudhellinga']
744,1,['Ammerud skole']
745,1,['Alundamveien']
746,1,['Breisjøgrenda']
747,1,['Huken']
748,1,['Lillomarka barnehage']
749,1,['Skogstad']
750,1,['Hagelundveien']
751,1,['Linne hotell']
752,1,['Lundliveien']
753,1,['Økern aldershjem']
754,1,['Tøyen stasjon']
755,1,['Storo senter']
756,1,['Nordbråtan']
757,1,['Grefsenkollen']
758,1,['Wyllerløypa']
759,1,['Wyllerveien']
760,1,['Strøm']
761,1,['Haugenstua skole']
762,1,['Vestli T']
763,1,['Nylænde']
764,1,['Marmorveien']
765,1,['Feltspatveien']
766,1,['Glimmerveien']
767,1,['Ryen T']
768,1,['Haugenstua skole']
769,1,['Steinerud T']
770,1,['Løren T']
