id,name,lat,lon,stopPlaceId,cluster_id
NSR:Quay:11067,Sinsenveien,59.934371,10.792606,NSR:Quay:11067,67
NSR:Quay:11071,Lørenvangen,59.931975,10.799987,NSR:Quay:11071,570
NSR:Quay:10834,Økern T,59.92824,10.806886,NSR:Quay:10834,24
NSR:Quay:10855,Ulven torg,59.925668,10.81177,NSR:Quay:10855,68
NSR:Quay:10930,Vollebekk,59.935775,10.83297,NSR:Quay:10930,69
NSR:Quay:10932,Veitvetveien,59.940427,10.856606,NSR:Quay:10932,571
NSR:Quay:10776,Nyland stasjon,59.944195,10.8704,NSR:Quay:10776,70
NSR:Quay:10800,Grorud stasjon,59.950021,10.885214,NSR:Quay:10800,572
NSR:Quay:10561,Smedstua,59.952918,10.913517,NSR:Quay:10561,71
NSR:Quay:11020,Bjerke,59.943018,10.810464,NSR:Quay:11020,56
NSR:Quay:11091,Sinsenkrysset,59.93816,10.785559,NSR:Quay:11091,55
NSR:Quay:11081,Sinsen T,59.936576,10.782014,NSR:Quay:11081,54
NSR:Quay:11744,Torshovparken,59.93339,10.769147,NSR:Quay:11744,53
NSR:Quay:11734,Torshov,59.935168,10.76445,NSR:Quay:11734,52
NSR:Quay:11713,Arendalsgata,59.937475,10.759424,NSR:Quay:11713,51
NSR:Quay:11689,Sagene,59.93763,10.750736,NSR:Quay:11689,50
NSR:Quay:11607,Fayes gate,59.935245,10.74317,NSR:Quay:11607,49
NSR:Quay:11579,Ullevål sykehus,59.936162,10.734769,NSR:Quay:11579,573
NSR:Quay:11595,Vestre Aker kirke,59.934305,10.727967,NSR:Quay:11595,574
NSR:Quay:11599,Marienlyst,59.932148,10.723608,NSR:Quay:11599,48
NSR:Quay:8067,Majorstuen,59.929541,10.714046,NSR:Quay:8067,47
NSR:Quay:10562,Smedstua,59.953196,10.913174,NSR:Quay:10562,71
NSR:Quay:10550,Haavard Martinsens vei,59.95464,10.898714,NSR:Quay:10550,575
NSR:Quay:10817,Vestbyveien,59.953389,10.887797,NSR:Quay:10817,72
NSR:Quay:10823,Grorud stasjon,59.951309,10.885482,NSR:Quay:10823,576
NSR:Quay:98643,Stanseveien,59.946862,10.877452,NSR:Quay:98643,577
NSR:Quay:10775,Nyland stasjon,59.944088,10.869577,NSR:Quay:10775,70
NSR:Quay:10933,Veitvetveien,59.940364,10.853111,NSR:Quay:10933,578
NSR:Quay:10926,Siemens,59.938003,10.837337,NSR:Quay:10926,579
