from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17,distance_m,speed_m_s,speed_km_h,tripsPerDay
NSR:Quay:11091,NSR:Quay:11081,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,264.6046007648503,4.410076679414172,15.87627604589102,43.0
NSR:Quay:11081,NSR:Quay:104044,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,738.3090519274332,6.15257543272861,22.149271557822996,43.0
NSR:Quay:104044,NSR:Quay:11048,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,432.36663803759495,3.6030553169799577,12.970999141127848,43.0
NSR:Quay:11048,NSR:Quay:11860,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,434.75969019527054,3.622997418293921,13.042790705858117,43.0
NSR:Quay:11860,NSR:Quay:11744,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,459.3188846633991,3.8276573721949925,13.779566539901973,43.0
NSR:Quay:11744,NSR:Quay:11734,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,327.95277407046126,2.7329397839205103,9.838583222113837,43.0
NSR:Quay:11734,NSR:Quay:11713,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,379.7228919869595,6.328714866449325,22.783373519217573,43.0
NSR:Quay:11713,NSR:Quay:11689,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,484.24914505360164,4.035409542113347,14.52747435160805,43.0
NSR:Quay:11689,NSR:Quay:11607,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,497.95400494102967,8.299233415683828,29.877240296461782,43.0
NSR:Quay:11607,NSR:Quay:11579,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,478.9613921869669,7.982689869782782,28.737683531218018,43.0
NSR:Quay:11579,NSR:Quay:11595,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,431.5247544695228,3.5960396205793566,12.945742634085684,43.0
NSR:Quay:11595,NSR:Quay:11599,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,341.3169771297226,2.844308142747688,10.239509313891677,43.0
NSR:Quay:11599,NSR:Quay:8067,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,180.0,22,43,606.4972187544082,3.3694289930800454,12.129944375088163,43.0
NSR:Quay:10562,NSR:Quay:10550,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,820.9148873050664,13.681914788417773,49.254893238303985,43.0
NSR:Quay:10550,NSR:Quay:10817,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,623.5160764821998,10.391934608036662,37.41096458893198,43.0
NSR:Quay:10817,NSR:Quay:10823,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,264.7762996034967,4.4129383267249445,15.8865779762098,43.0
NSR:Quay:10823,NSR:Quay:98643,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,666.6660465206702,11.111100775344504,39.999962791240215,43.0
