lineId,lineCode,authority,num_edges,total_travel_time_sec,avg_edge_time_sec,total_distance_m,avg_edge_distance_m,trips_per_day,commercial_speed_m_s,commercial_speed_km_h,vehicle_km_per_day,passengers_est_per_day,capacity_per_day,load_factor,speed_score,capacity_score,route_score
RUT:Line:2031,31E,Ruter,30,4620.0,154.0,28317.80701275701,943.9269004252336,36.0,6.129395457306712,22.065823646304164,1019.4410524592524,1958.148914245621,1620.0,1.2087338976824822,0.23661285190540066,0.48921926448819836,0.3629160581967995
RUT:Line:2046,46X,Ruter,23,3030.0,131.7391304347826,13542.64797799764,588.8107816520713,0.0,4.4695207848177025,16.09027482534373,0.0,0.0,0.0,,0.1098644416689584,,
RUT:Line:2049,45X,Ruter,25,2040.0,81.6,10299.46109646346,411.97844385853836,0.0,5.048755439442872,18.17551958199434,0.0,0.0,0.0,,0.1540949325875919,,
RUT:Line:2056,56B,Ruter,22,1620.0,73.63636363636364,7887.129117431025,358.5058689741375,0.0,4.868598220636436,17.526953594291168,0.0,0.0,0.0,,0.14033808608899825,,
RUT:Line:2075,75B,Ruter,13,900.0,69.23076923076923,4061.054414625131,312.38880112501005,11.0,4.512282682916812,16.244217658500524,44.67159856087644,85.80549312643342,495.0,0.17334443055845136,0.11312975000373013,0.07857654780194877,0.09585314890283944
RUT:Line:2077,77B,Ruter,10,720.0,72.0,2906.4823283115597,290.64823283115595,144.0,4.036781011543833,14.532411641557799,418.53345527686463,803.9217461851414,6480.0,0.12406199786807738,0.07682033344945385,0.05351999774915765,0.06517016559930575
RUT:Line:2078,78B,Ruter,24,2040.0,85.0,9183.652303416626,382.65217930902605,31.0,4.501790344812071,16.206445241323458,284.6932214059154,546.840566253696,1395.0,0.392000405916628,0.11232855266246042,0.31181242001044657,0.21207048633645348
RUT:Line:21,21,Ruter,51,4800.0,94.11764705882354,18893.720041175737,370.4650988465831,338.0,3.9361916752449453,14.170290030881803,6386.077373917399,12266.418392567832,15210.0,0.806470637249693,0.0691393086865995,0.98952851498444,0.5293339118355198
RUT:Line:2160,160E,Ruter,6,900.0,150.0,9909.10787523979,1651.5179792066317,30.0,11.010119861377545,39.63643150095916,297.27323625719373,571.0043394927662,1350.0,0.42296617740204906,0.6093060854798056,0.3630918796790607,0.48619898257943317
RUT:Line:2250,250E,Ruter,8,1260.0,157.5,10318.456474786484,1289.8070593483105,44.0,8.189251170465464,29.481304213675674,454.01208489060537,872.0693255762959,1980.0,0.4404390533213616,0.3939039060353044,0.39380877583359697,0.39385634093445065
