mode,experiment,graph,attack_type,run_id,removal_type,step,removed_nodes,node_removed,flow,flow_ratio
all,exp1,oslo_only,random,2,single,8,NSR:Quay:11980,NSR:Quay:11980,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,2,single,9,NSR:Quay:7245,NSR:Quay:7245,3761450.0,0.9891290342090938
all,exp1,oslo_only,random,2,single,10,NSR:Quay:11985,NSR:Quay:11985,3796450.0,0.9983328030209399
all,exp1,oslo_only,random,2,cumulative,1,['NSR:Quay:99376'],,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,2,cumulative,2,"['NSR:Quay:99376', 'NSR:Quay:104023']",,3797750.0,0.9986746572910942
all,exp1,oslo_only,random,2,cumulative,3,"['NSR:Quay:12036', 'NSR:Quay:99376', 'NSR:Quay:104023']",,3787000.0,0.9958477854417415
all,exp1,oslo_only,random,2,cumulative,4,"['NSR:Quay:12036', 'NSR:Quay:99376', 'NSR:Quay:104023', 'NSR:Quay:721']",,3444280.0,0.905724481236145
all,exp1,oslo_only,random,2,cumulative,5,"['NSR:Quay:12036', 'NSR:Quay:721', 'NSR:Quay:104023', 'NSR:Quay:100634', 'NSR:Quay:99376']",,3371560.0,0.886601679293361
all,exp1,oslo_only,random,2,cumulative,6,"['NSR:Quay:12036', 'NSR:Quay:721', 'NSR:Quay:104023', 'NSR:Quay:100634', 'NSR:Quay:99376', 'NSR:Quay:11942']",,3364660.0,0.8847872220133113
all,exp1,oslo_only,random,2,cumulative,7,"['NSR:Quay:12036', 'NSR:Quay:721', 'NSR:Quay:11971', 'NSR:Quay:104023', 'NSR:Quay:100634', 'NSR:Quay:99376', 'NSR:Quay:11942']",,3360160.0,0.8836038803089311
all,exp1,oslo_only,random,2,cumulative,8,"['NSR:Quay:11971', 'NSR:Quay:104023', 'NSR:Quay:11980', 'NSR:Quay:11942', 'NSR:Quay:12036', 'NSR:Quay:721', 'NSR:Quay:100634', 'NSR:Quay:99376']",,3360160.0,0.8836038803089311
all,exp1,oslo_only,random,2,cumulative,9,"['NSR:Quay:11971', 'NSR:Quay:104023', 'NSR:Quay:7245', 'NSR:Quay:11980', 'NSR:Quay:11942', 'NSR:Quay:12036', 'NSR:Quay:721', 'NSR:Quay:100634', 'NSR:Quay:99376']",,3323260.0,0.8739004783330134
all,exp1,oslo_only,random,2,cumulative,10,"['NSR:Quay:11971', 'NSR:Quay:104023', 'NSR:Quay:7245', 'NSR:Quay:11980', 'NSR:Quay:11985', 'NSR:Quay:11942', 'NSR:Quay:12036', 'NSR:Quay:721', 'NSR:Quay:100634', 'NSR:Quay:99376']",,3321360.0,0.8734008451689418
all,exp1,oslo_only,random,3,single,1,NSR:Quay:106761,NSR:Quay:106761,3798200.0,0.9987929914615322
all,exp1,oslo_only,random,3,single,2,NSR:Quay:11037,NSR:Quay:11037,3797650.0,0.9986483608087746
all,exp1,oslo_only,random,3,single,3,NSR:Quay:11125,NSR:Quay:11125,3796950.0,0.9984642854325377
all,exp1,oslo_only,random,3,single,4,NSR:Quay:11897,NSR:Quay:11897,3670350.0,0.9651729388159745
all,exp1,oslo_only,random,3,single,5,NSR:Quay:11990,NSR:Quay:11990,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,3,single,6,NSR:Quay:105305,NSR:Quay:105305,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,3,single,7,NSR:Quay:11960,NSR:Quay:11960,3779700.0,0.9939281422324135
all,exp1,oslo_only,random,3,single,8,NSR:Quay:12149,NSR:Quay:12149,3788750.0,0.9963079738823337
all,exp1,oslo_only,random,3,single,9,NSR:Quay:7170,NSR:Quay:7170,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,3,single,10,NSR:Quay:721,NSR:Quay:721,3455630.0,0.9087091319794152
all,exp1,oslo_only,random,3,cumulative,1,['NSR:Quay:106761'],,3798200.0,0.9987929914615322
all,exp1,oslo_only,random,3,cumulative,2,"['NSR:Quay:11037', 'NSR:Quay:106761']",,3797500.0,0.9986089160852952
all,exp1,oslo_only,random,3,cumulative,3,"['NSR:Quay:11037', 'NSR:Quay:11125', 'NSR:Quay:106761']",,3796100.0,0.9982407653328215
all,exp1,oslo_only,random,3,cumulative,4,"['NSR:Quay:11037', 'NSR:Quay:11897', 'NSR:Quay:11125', 'NSR:Quay:106761']",,3668100.0,0.9645812679637845
all,exp1,oslo_only,random,3,cumulative,5,"['NSR:Quay:11037', 'NSR:Quay:11897', 'NSR:Quay:106761', 'NSR:Quay:11990', 'NSR:Quay:11125']",,3668100.0,0.9645812679637845
all,exp1,oslo_only,random,3,cumulative,6,"['NSR:Quay:11037', 'NSR:Quay:11897', 'NSR:Quay:106761', 'NSR:Quay:11990', 'NSR:Quay:11125', 'NSR:Quay:105305']",,3668100.0,0.9645812679637845
all,exp1,oslo_only,random,3,cumulative,7,"['NSR:Quay:11037', 'NSR:Quay:11897', 'NSR:Quay:11960', 'NSR:Quay:106761', 'NSR:Quay:11990', 'NSR:Quay:11125', 'NSR:Quay:105305']",,3649450.0,0.9596769740111866
all,exp1,oslo_only,random,3,cumulative,8,"['NSR:Quay:12149', 'NSR:Quay:11990', 'NSR:Quay:105305', 'NSR:Quay:11037', 'NSR:Quay:11897', 'NSR:Quay:11960', 'NSR:Quay:106761', 'NSR:Quay:11125']",,3639850.0,0.9571525117085088
all,exp1,oslo_only,random,3,cumulative,9,"['NSR:Quay:7170', 'NSR:Quay:12149', 'NSR:Quay:11990', 'NSR:Quay:105305', 'NSR:Quay:11037', 'NSR:Quay:11897', 'NSR:Quay:11960', 'NSR:Quay:106761', 'NSR:Quay:11125']",,3639850.0,0.9571525117085088
all,exp1,oslo_only,random,3,cumulative,10,"['NSR:Quay:7170', 'NSR:Quay:12149', 'NSR:Quay:11990', 'NSR:Quay:105305', 'NSR:Quay:11037', 'NSR:Quay:11897', 'NSR:Quay:11960', 'NSR:Quay:721', 'NSR:Quay:106761', 'NSR:Quay:11125']",,3297130.0,0.8670292075029123
all,exp1,oslo_only,random,4,single,1,NSR:Quay:564,NSR:Quay:564,3712670.0,0.9763016101336124
