from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17
NSR:Quay:10757,NSR:Quay:10669,INN:Line:126,126,bus,Innlandstrafikk,,4,14
NSR:Quay:10669,NSR:Quay:10655,INN:Line:126,126,bus,Innlandstrafikk,60,4,14
NSR:Quay:11992,NSR:Quay:11125,INN:Line:126,126,bus,Innlandstrafikk,480,2,14
NSR:Quay:10301,NSR:Quay:10380,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,47,47
NSR:Quay:10380,NSR:Quay:11231,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,180,47,47
NSR:Quay:11231,NSR:Quay:11213,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,,47,47
NSR:Quay:11213,NSR:Quay:11131,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:11131,NSR:Quay:11125,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:11125,NSR:Quay:11121,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:11121,NSR:Quay:11114,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:11114,NSR:Quay:11070,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,47,47
NSR:Quay:11070,NSR:Quay:11084,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:11084,NSR:Quay:102015,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:102015,NSR:Quay:11048,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,180,47,47
