id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:12013,NSR:Quay:12013,Radiumhospitalet,59.928838,10.659804,bus,bus
NSR:Quay:11996,NSR:Quay:11996,Montebelloveien,59.931737,10.668878,bus,bus
NSR:Quay:11986,NSR:Quay:11986,Husebyveien,59.934827,10.676109,bus,bus
NSR:Quay:11958,NSR:Quay:11958,Smestad,59.937365,10.682662,bus,bus
NSR:Quay:11455,NSR:Quay:11455,Risalléen,59.945056,10.704742,bus,bus
NSR:Quay:11485,NSR:Quay:11485,Gaustad,59.945545,10.716029,bus,bus
NSR:Quay:11299,NSR:Quay:11299,Ullevål stadion,59.949775,10.732065,bus,bus
NSR:Quay:11324,NSR:Quay:11324,Berg,59.951924,10.744473,bus,bus
NSR:Quay:11346,NSR:Quay:11346,Tåsen senter,59.952766,10.751576,bus,bus
NSR:Quay:11354,NSR:Quay:11354,Bergrådveien,59.953199,10.757364,bus,bus
NSR:Quay:11136,NSR:Quay:11136,Nydalen stasjon,59.952716,10.76985,bus,bus
NSR:Quay:11149,NSR:Quay:11149,Lillo terrasse,59.951078,10.775536,bus,bus
NSR:Quay:11128,NSR:Quay:11128,Storo,59.945688,10.778886,bus,bus
NSR:Quay:11108,NSR:Quay:11108,Grefsen stasjon,59.940782,10.78137,bus,bus
NSR:Quay:11088,NSR:Quay:11088,Sinsenkrysset,59.936806,10.785989,bus,bus
NSR:Quay:11067,NSR:Quay:11067,Sinsenveien,59.934371,10.792606,bus,bus
NSR:Quay:11071,NSR:Quay:11071,Lørenvangen,59.931975,10.799987,bus,bus
NSR:Quay:10834,NSR:Quay:10834,Økern T,59.92824,10.806886,bus,bus
NSR:Quay:10856,NSR:Quay:10856,Ulven torg,59.925512,10.811867,bus,bus
NSR:Quay:11207,NSR:Quay:11207,Valle Hovin,59.918749,10.808447,bus,bus
NSR:Quay:11202,NSR:Quay:11202,Teisenkrysset,59.916755,10.812148,bus,bus
NSR:Quay:11194,NSR:Quay:11194,Brynsengveien,59.91149,10.815678,bus,bus
NSR:Quay:11184,NSR:Quay:11184,Brynseng T,59.909288,10.814181,bus,bus
NSR:Quay:10887,NSR:Quay:10887,Høyenhall T,59.906962,10.819127,bus,bus
NSR:Quay:10853,NSR:Quay:10853,Manglerud T,59.898321,10.813639,bus,bus
NSR:Quay:10822,NSR:Quay:10822,Ryen T,59.895262,10.805231,bus,bus
NSR:Quay:12280,NSR:Quay:12280,Oluf Onsums vei,59.895618,10.801765,bus,bus
NSR:Quay:12277,NSR:Quay:12277,Benveien,59.897536,10.79716,bus,bus
NSR:Quay:12271,NSR:Quay:12271,Lyngveien,59.897616,10.793134,bus,bus
NSR:Quay:12263,NSR:Quay:12263,Simensbråten,59.89583,10.78733,bus,bus
NSR:Quay:109021,NSR:Quay:109021,Majorstuen,59.92858,10.717482,bus,bus
NSR:Quay:11618,NSR:Quay:11618,John Colletts plass,59.940972,10.729831,bus,bus
NSR:Quay:11314,NSR:Quay:11314,Ullevål stadion T,59.947263,10.732862,bus,bus
NSR:Quay:11384,NSR:Quay:11384,Nordberghjemmet,59.961427,10.744331,bus,bus
NSR:Quay:105184,NSR:Quay:105184,Kongleveien,59.961826,10.734439,bus,bus
NSR:Quay:11404,NSR:Quay:11404,Kringsjå,59.964134,10.734327,bus,bus
NSR:Quay:101619,NSR:Quay:101619,Sognsvann T,59.967443,10.733213,bus,bus
NSR:Quay:8164,NSR:Quay:8164,Roald Amundsens gate,59.955742,11.068656,bus,bus
NSR:Quay:8161,NSR:Quay:8161,Leiv Eirikssons gate,59.954912,11.061505,bus,bus
NSR:Quay:8157,NSR:Quay:8157,St. Olavs gate,59.955107,11.056176,bus,bus
