id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:12419,NSR:Quay:12419,Ljabru hovedgård,59.849269,10.803305,bus,bus
NSR:Quay:12410,NSR:Quay:12410,Hauketo stasjon,59.846174,10.80323,bus,bus
NSR:Quay:12444,NSR:Quay:12444,Hallagerbakken,59.841301,10.793703,bus,bus
NSR:Quay:12443,NSR:Quay:12443,Skovbakken nord,59.840414,10.795079,bus,bus
NSR:Quay:12429,NSR:Quay:12429,Holmlia stasjon,59.835034,10.796696,bus,bus
NSR:Quay:12451,NSR:Quay:12451,Rosenholmveien,59.829975,10.792691,bus,bus
NSR:Quay:12453,NSR:Quay:12453,Åstun,59.830706,10.789234,bus,bus
NSR:Quay:12457,NSR:Quay:12457,Vestskrenten,59.829978,10.781879,bus,bus
NSR:Quay:12458,NSR:Quay:12458,Grensestien,59.827627,10.779342,bus,bus
NSR:Quay:12461,NSR:Quay:12461,Åsbråten,59.82648,10.782644,bus,bus
NSR:Quay:11313,NSR:Quay:11313,Tveita T,59.913819,10.842269,bus,bus
NSR:Quay:11316,NSR:Quay:11316,Tveita,59.914334,10.845864,bus,bus
NSR:Quay:11326,NSR:Quay:11326,Tveita bedriftsområde,59.916522,10.849262,bus,bus
NSR:Quay:11351,NSR:Quay:11351,Haugerudveien,59.918616,10.851536,bus,bus
NSR:Quay:11347,NSR:Quay:11347,Haugerud T,59.92204,10.855227,bus,bus
NSR:Quay:11379,NSR:Quay:11379,Doktor Dedichens vei,59.924582,10.860173,bus,bus
NSR:Quay:11382,NSR:Quay:11382,Haukåsen skole,59.922353,10.863445,bus,bus
NSR:Quay:11387,NSR:Quay:11387,Fagerholt,59.92356,10.867758,bus,bus
NSR:Quay:11393,NSR:Quay:11393,Lutvann skole,59.925707,10.869668,bus,bus
NSR:Quay:11397,NSR:Quay:11397,Lutvannsveien,59.925317,10.872777,bus,bus
NSR:Quay:7257,NSR:Quay:7257,Stortinget,59.913146,10.742714,metro,metro
NSR:Quay:11178,NSR:Quay:11178,Brynseng,59.90924,10.812097,metro,metro
NSR:Quay:11273,NSR:Quay:11273,Hellerud,59.91003,10.82986,metro,metro
NSR:Quay:10948,NSR:Quay:10948,Godlia,59.907146,10.835835,metro,metro
NSR:Quay:10954,NSR:Quay:10954,Skøyenåsen,59.899007,10.836575,metro,metro
NSR:Quay:10998,NSR:Quay:10998,Oppsal,59.892882,10.839957,metro,metro
NSR:Quay:10716,NSR:Quay:10716,Ulsrud,59.8894,10.849586,metro,metro
NSR:Quay:10749,NSR:Quay:10749,Bøler,59.88428,10.84537,metro,metro
NSR:Quay:10768,NSR:Quay:10768,Bogerud,59.87606,10.841985,metro,metro
NSR:Quay:10788,NSR:Quay:10788,Skullerud,59.866544,10.840019,metro,metro
NSR:Quay:10423,NSR:Quay:10423,Mortensrud,59.849326,10.829754,metro,metro
NSR:Quay:12209,NSR:Quay:12209,Skar,60.026663,10.779284,bus,bus
NSR:Quay:12212,NSR:Quay:12212,Skarsbakken,60.020222,10.777819,bus,bus
NSR:Quay:12217,NSR:Quay:12217,Rugda,60.014805,10.772618,bus,bus
NSR:Quay:12218,NSR:Quay:12218,Turtermarka,60.009325,10.766202,bus,bus
NSR:Quay:12223,NSR:Quay:12223,Maridalen skole,60.004362,10.763058,bus,bus
NSR:Quay:12182,NSR:Quay:12182,Hammeren,59.994042,10.752305,bus,bus
NSR:Quay:12179,NSR:Quay:12179,Saga,59.988535,10.752923,bus,bus
NSR:Quay:12174,NSR:Quay:12174,Skjerven,59.986027,10.752694,bus,bus
NSR:Quay:12169,NSR:Quay:12169,Låkeberget,59.979914,10.757316,bus,bus
NSR:Quay:12162,NSR:Quay:12162,Brennenga,59.97711,10.761181,bus,bus
NSR:Quay:12161,NSR:Quay:12161,Engelsrud,59.972978,10.764222,bus,bus
NSR:Quay:11431,NSR:Quay:11431,Brekkekrysset,59.966939,10.766425,bus,bus
